,0
2160,1003
2161,0
2162,1186
2163,1146
2164,0
2165,0
2166,0
2167,0
2168,0
2169,0
2170,820
2171,929
2172,840
2173,0
2174,0
2175,1252
2176,929
2177,466
2178,0
2179,0
2180,0
2181,0
2182,712
2183,0
2184,0
2185,0
2186,0
2187,1468
2188,0
2189,0
2190,0
2191,0
2192,0
2193,713
2194,1060
2195,0
2196,263
2197,0
2198,0
2199,118
2200,0
2201,1204
2202,0
2203,468
2204,750
2205,0
2206,588
2207,0
2208,0
2209,0
2210,0
2211,0
2212,400
2213,0
2214,0
2215,1546
2216,0
2217,226
2218,0
2219,406
2220,0
2221,619
2222,592
2223,0
2224,1200
2225,0
2226,0
2227,621
2228,1490
2229,836
2230,0
2231,1174
2232,0
2233,0
2234,0
2235,0
2236,455
2237,685
2238,0
2239,0
2240,0
2241,1028
2242,240
2243,0
2244,1406
2245,697
2246,0
2247,0
2248,11
2249,0
2250,0
2251,0
2252,0
2253,0
2254,0
2255,244
2256,0
2257,0
2258,0
2259,223
2260,903
2261,287
2262,0
2263,0
2264,0
2265,0
2266,0
2267,396
2268,0
2269,1011
2270,0
2271,0
2272,0
2273,1464
2274,0
2275,660
2276,513
2277,0
2278,0
2279,0
2280,0
2281,0
2282,0
2283,0
2284,158
2285,300
2286,0
2287,148
2288,0
2289,0
2290,0
2291,754
2292,0
2293,0
2294,1107
2295,0
2296,1362
2297,10
2298,971
2299,0
2300,0
2301,0
2302,0
2303,71
2304,37
2305,0
2306,0
2307,0
2308,385
2309,409
2310,0
2311,0
2312,0
2313,0
2314,0
2315,1438
2316,0
2317,751
2318,1058
2319,0
2320,531
2321,0
2322,752
2323,0
2324,0
2325,0
2326,1114
2327,590
2328,715
2329,908
2330,1434
2331,0
2332,1537
2333,1371
2334,0
2335,0
2336,0
2337,0
2338,303
2339,0
2340,0
2341,0
2342,0
2343,0
2344,0
2345,1546
2346,514
2347,0
2348,84
2349,0
2350,0
2351,0
2352,1362
2353,1329
2354,0
2355,0
2356,0
2357,356
2358,0
2359,0
2360,0
2361,0
2362,0
2363,0
2364,549
2365,0
2366,1476
2367,0
2368,403
2369,0
2370,567
2371,276
2372,542
2373,0
2374,0
2375,0
2376,0
2377,0
2378,1504
2379,0
2380,1106
2381,0
2382,0
2383,1195
2384,0
2385,0
2386,0
2387,0
2388,0
2389,0
2390,468
2391,0
2392,0
2393,0
2394,0
2395,0
2396,0
2397,803
2398,0
2399,0
2400,0
2401,0
2402,0
2403,0
2404,0
2405,1205
2406,0
2407,522
2408,0
2409,1427
2410,0
2411,528
2412,0
2413,0
2414,1391
2415,0
2416,0
2417,0
2418,0
2419,0
2420,648
2421,0
2422,0
2423,0
2424,1284
2425,0
2426,0
2427,0
2428,0
2429,15
2430,0
2431,712
2432,0
2433,830
2434,864
2435,0
2436,0
2437,175
2438,0
2439,0
2440,0
2441,0
2442,90
2443,126
2444,0
2445,64
2446,0
2447,0
2448,0
2449,0
2450,0
2451,0
2452,0
2453,61
2454,0
2455,951
2456,0
2457,520
2458,0
2459,814
2460,1504
